#                   T = 2.00                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.50000000E-01  0.00000000E+00  0.00000000E+00
  5.00000000E-01  0.00000000E+00  0.00000000E+00
  7.50000000E-01  0.00000000E+00  0.00000000E+00
  1.00000000E+00  0.00000000E+00  0.00000000E+00
  1.25000000E+00  0.00000000E+00  0.00000000E+00
  1.50000000E+00  0.00000000E+00  0.00000000E+00
  1.75000000E+00  0.00000000E+00  0.00000000E+00
  2.00000000E+00  3.38912000E-04  3.90487459E-06
  2.25000000E+00  8.04114048E-02  8.55178289E-05
  2.50000000E+00  4.87833037E-01  2.10846116E-04
  2.75000000E+00  1.04134013E+00  2.71597130E-04
  3.00000000E+00  1.52323526E+00  2.98142804E-04
  3.25000000E+00  1.84004899E+00  3.15417730E-04
  3.50000000E+00  1.95929116E+00  3.23351173E-04
  3.75000000E+00  1.89743084E+00  3.69178481E-04
  4.00000000E+00  1.70445970E+00  3.35267592E-04
  4.25000000E+00  1.43855789E+00  3.36770682E-04
  4.50000000E+00  1.15186436E+00  2.84677353E-04
  4.75000000E+00  8.81217421E-01  2.43205574E-04
  5.00000000E+00  6.48935981E-01  2.09530820E-04
  5.25000000E+00  4.71383654E-01  1.69441553E-04
  5.50000000E+00  3.61718035E-01  1.66573344E-04
  5.75000000E+00  3.36131149E-01  1.85373952E-04
  6.00000000E+00  4.04824851E-01  2.42558573E-04
  6.25000000E+00  5.64557907E-01  2.90442907E-04
  6.50000000E+00  7.93312301E-01  3.40362674E-04
  6.75000000E+00  1.05062148E+00  3.30937222E-04
  7.00000000E+00  1.29104099E+00  3.18742447E-04
  7.25000000E+00  1.47070564E+00  3.36841716E-04
  7.50000000E+00  1.56372550E+00  3.41441199E-04
  7.75000000E+00  1.56064719E+00  4.48477647E-04
  8.00000000E+00  1.47201577E+00  4.01084931E-04
  8.25000000E+00  1.31958914E+00  4.23146439E-04
  8.50000000E+00  1.13102083E+00  3.77035479E-04
  8.75000000E+00  9.34917056E-01  3.58048576E-04
  9.00000000E+00  7.58053286E-01  2.95622052E-04
  9.25000000E+00  6.21891296E-01  2.48828356E-04
  9.50000000E+00  5.43573498E-01  2.64169700E-04
  9.75000000E+00  5.33412518E-01  3.22461778E-04
  1.00000000E+01  5.93314419E-01  4.19091486E-04
  1.02500000E+01  7.14724019E-01  4.40520156E-04
  1.05000000E+01  8.77243059E-01  4.32186414E-04
  1.07500000E+01  1.05474523E+00  4.57130889E-04
  1.10000000E+01  1.21650511E+00  3.67468647E-04
  1.12500000E+01  1.33830422E+00  3.75408368E-04
  1.15000000E+01  1.40117830E+00  3.96941009E-04
  1.17500000E+01  1.39889068E+00  4.83044374E-04
  1.20000000E+01  1.33598208E+00  5.39588097E-04
  1.22500000E+01  1.22527994E+00  5.01817258E-04
  1.25000000E+01  1.08685772E+00  5.13231682E-04
  1.27500000E+01  9.41330944E-01  4.07638427E-04
  1.30000000E+01  8.10146592E-01  3.37230294E-04
  1.32500000E+01  7.10960544E-01  3.12277425E-04
  1.35000000E+01  6.58154496E-01  3.71355259E-04
  1.37500000E+01  6.58020627E-01  4.60157543E-04
  1.40000000E+01  7.09613722E-01  5.19420053E-04
  1.42500000E+01  8.04939219E-01  5.90791939E-04
  1.45000000E+01  9.27053587E-01  5.15807713E-04
  1.47500000E+01  1.05648780E+00  5.07664385E-04
  1.50000000E+01  1.17280388E+00  4.47590530E-04
  1.52500000E+01  1.25789188E+00  4.08496695E-04
  1.55000000E+01  1.29937220E+00  5.07456415E-04
  1.57500000E+01  1.29316148E+00  5.63066130E-04
  1.60000000E+01  1.24288876E+00  6.34086283E-04
  1.62500000E+01  1.15848879E+00  6.32194766E-04
  1.65000000E+01  1.05285346E+00  5.73592148E-04
  1.67500000E+01  9.43085594E-01  4.66571046E-04
