#                   T = 2.00                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.50000000E-01  0.00000000E+00  0.00000000E+00
  5.00000000E-01  0.00000000E+00  0.00000000E+00
  7.50000000E-01  0.00000000E+00  0.00000000E+00
  1.00000000E+00  0.00000000E+00  0.00000000E+00
  1.25000000E+00  0.00000000E+00  0.00000000E+00
  1.50000000E+00  0.00000000E+00  0.00000000E+00
  1.75000000E+00  0.00000000E+00  0.00000000E+00
  2.00000000E+00  3.45579301E-04  3.25217427E-06
  2.25000000E+00  8.11014825E-02  7.15981689E-05
  2.50000000E+00  4.91491161E-01  1.96309517E-04
  2.75000000E+00  1.04737220E+00  3.54519586E-04
  3.00000000E+00  1.53026526E+00  4.29520236E-04
  3.25000000E+00  1.84483679E+00  4.09296484E-04
  3.50000000E+00  1.95986290E+00  3.39449164E-04
  3.75000000E+00  1.89368876E+00  2.72671570E-04
  4.00000000E+00  1.69735088E+00  2.55204438E-04
  4.25000000E+00  1.42980305E+00  3.20874817E-04
  4.50000000E+00  1.14314484E+00  3.76397519E-04
  4.75000000E+00  8.73521734E-01  3.92181445E-04
  5.00000000E+00  6.43818719E-01  3.80333416E-04
  5.25000000E+00  4.68844650E-01  3.33666867E-04
  5.50000000E+00  3.62416586E-01  2.68998550E-04
  5.75000000E+00  3.40422047E-01  1.87550233E-04
  6.00000000E+00  4.12957667E-01  1.81476738E-04
  6.25000000E+00  5.76279859E-01  2.87406308E-04
  6.50000000E+00  8.06652166E-01  4.41700709E-04
  6.75000000E+00  1.06406945E+00  5.00032704E-04
  7.00000000E+00  1.30046979E+00  5.49586557E-04
  7.25000000E+00  1.47486151E+00  5.29160181E-04
  7.50000000E+00  1.56012262E+00  4.19936858E-04
  7.75000000E+00  1.55072249E+00  3.13024391E-04
  8.00000000E+00  1.45645427E+00  3.47754687E-04
  8.25000000E+00  1.30191229E+00  4.24395585E-04
  8.50000000E+00  1.11408223E+00  5.11673295E-04
  8.75000000E+00  9.21758105E-01  5.57657153E-04
  9.00000000E+00  7.49844234E-01  5.34611687E-04
  9.25000000E+00  6.19958521E-01  4.91298354E-04
  9.50000000E+00  5.48544130E-01  3.76586172E-04
  9.75000000E+00  5.45356725E-01  2.75105398E-04
  1.00000000E+01  6.10859721E-01  3.33577411E-04
  1.02500000E+01  7.35498423E-01  4.32141565E-04
  1.05000000E+01  8.98601476E-01  5.60896742E-04
  1.07500000E+01  1.07185638E+00  6.07456155E-04
  1.10000000E+01  1.22721315E+00  5.87833652E-04
  1.12500000E+01  1.33923890E+00  6.13583165E-04
  1.15000000E+01  1.39233552E+00  4.46736474E-04
  1.17500000E+01  1.38163476E+00  3.95857832E-04
  1.20000000E+01  1.31315811E+00  4.39238155E-04
  1.22500000E+01  1.20098672E+00  5.31943201E-04
  1.25000000E+01  1.06382764E+00  6.12911449E-04
  1.27500000E+01  9.23989006E-01  6.46341246E-04
  1.30000000E+01  8.00753272E-01  6.28082665E-04
  1.32500000E+01  7.11629543E-01  5.50563692E-04
  1.35000000E+01  6.68418226E-01  4.31763148E-04
  1.37500000E+01  6.77080696E-01  3.88639188E-04
  1.40000000E+01  7.35317296E-01  4.48175381E-04
  1.42500000E+01  8.32563482E-01  5.57476283E-04
  1.45000000E+01  9.53092544E-01  6.57469726E-04
  1.47500000E+01  1.07615277E+00  6.89316138E-04
  1.50000000E+01  1.18226726E+00  6.68282138E-04
  1.52500000E+01  1.25519492E+00  6.13206632E-04
  1.55000000E+01  1.28507745E+00  4.85595144E-04
  1.57500000E+01  1.26995132E+00  4.75924253E-04
  1.60000000E+01  1.21403092E+00  5.25922522E-04
  1.62500000E+01  1.12829689E+00  5.95552322E-04
  1.65000000E+01  1.02614610E+00  6.71085641E-04
  1.67500000E+01  9.24284149E-01  7.07954243E-04
